No,Nama File,Kategori,Kode Kat,Nama Sampah,Nama Folder,Dapat Terurai,Waktu Urai,Daur Ulang,Nilai Jual,Kesulitan Daur Ulang,Nilai Jual (Rp/kg),Biaya Proses (Rp/kg),Emisi CO2e (kg),Potensi Pengolahan,Jenis Bahaya,Metode Pengumpulan,waktu_urai_bulan,kategori_urai,kesulitan_encoded,nilai_jual_encoded,biaya_proses_encoded,beban_biaya_score,high_cost_burden,potensi_pengolahan_enc,jenis_bahaya_enc,metode_pengumpulan_enc,kategori_enc
1,botol_kaca_1,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
2,botol_kaca_2,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
3,botol_kaca_3,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
4,botol_kaca_4,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
5,botol_kaca_5,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
6,botol_kaca_6,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
7,botol_kaca_7,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
8,botol_kaca_8,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
9,botol_kaca_9,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
10,botol_kaca_10,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,5,6,0,0,4,2,0
