No,Nama File,Kategori,Kode Kat,Nama Sampah,Nama Folder,Dapat Terurai,Waktu Urai,Referensi & Sumber Waktu Urai,Daur Ulang,Nilai Jual,Kesulitan Daur Ulang,Nilai Jual (Rp/kg),Biaya Proses (Rp/kg),Emisi CO2e (kg),Potensi Pengolahan,Olahan Sampah,Jenis Bahaya,Detail Bahaya,Metode Pengumpulan,Standar Regulasi
1,botol_kaca_1,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
2,botol_kaca_2,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
3,botol_kaca_3,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
4,botol_kaca_4,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
5,botol_kaca_5,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
6,botol_kaca_6,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
7,botol_kaca_7,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
8,botol_kaca_8,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
9,botol_kaca_9,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
10,botol_kaca_10,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
11,botol_kaca_11,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
12,botol_kaca_12,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
13,botol_kaca_13,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
